,German,French,Alsatian,germ_pron,als_pron,fr_pron,orth_score_germ_als,orth_score_fr_als,pron_score_fr_als,pron_score_germ_als
507,Girlande,guirlande,.,"('JRLNT', 'KRLNT')","('', '')","('KRLNT', '')",.,.,.,.
508,Glace,glace,Is,"('KLS', '')","('AS', '')","('KLS', '')",0.0,0.0,0.4,0.4
509,glazial,glacial,.,"('KLSL', '')","('', '')","('KLSL', 'KLXL')",.,.,.,.
510,Gobelin,Kobold,.,"('KPLN', '')","('', '')","('KPLT', '')",.,.,.,.
511,Gouache,gouache,.,"('KX', 'KK')","('', '')","('KX', 'KK')",.,.,.,.
512,Gourmet,gourmet,Finschmäcker,"('KRMT', '')","('FNXMKR', '')","('KRMT', '')",0.10526315789473684,0.10526315789473684,0.4,0.4
513,goutieren,goûter,.,"('KTRN', '')","('', '')","('KTR', '')",.,.,.,.
514,Gouvernante,gouvernante,.,"('KFRNNT', '')","('', '')","('KFRNNT', '')",.,.,.,.
515,Gouverneur,gouverneur,.,"('KFRNR', '')","('', '')","('KFRNR', '')",.,.,.,.
516,Grad,grade,Ràng,"('KRT', '')","('RNK', '')","('KRT', '')",0.25,0.2222222222222222,0.3333333333333333,0.3333333333333333
517,Gratin,gratin,.,"('KRTN', '')","('', '')","('KRTN', '')",.,.,.,.
518,Graveur,graveur,.,"('KRFR', '')","('', '')","('KRFR', '')",.,.,.,.
519,gravieren,graver,.,"('KRFRN', '')","('', '')","('KRFR', '')",.,.,.,.
520,grillieren,griller,.,"('KRLRN', '')","('', '')","('KRLR', '')",.,.,.,.
521,Grimasse,grimace,Grimàssa,"('KRMS', '')","('KRMS', '')","('KRMS', '')",0.75,0.6666666666666666,1.0,1.0
522,Grippe,grippe,Gripp,"('KRP', '')","('KRP', '')","('KRP', '')",0.9090909090909091,0.9090909090909091,1.0,1.0
523,Gros,gros,.,"('KRS', '')","('', '')","('KRS', '')",.,.,.,.
524,grotesk,grotesque,.,"('KRTSK', '')","('', '')","('KRTSK', '')",.,.,.,.
525,Gruppe,groupe,Gruppa,"('KRP', '')","('KRP', '')","('KRP', '')",0.8333333333333334,0.6666666666666666,1.0,1.0
526,Guillotine,guillotine,Fàllbeil,"('KLTN', '')","('FLPL', '')","('KLTN', '')",0.2222222222222222,0.2222222222222222,0.25,0.25
527,Guinee,Guinée,.,"('KN', '')","('', '')","('KN', '')",.,.,.,.
528,Habitué,habitué,Schtàmmgàscht,"('HPT', '')","('XTMKXT', 'STMKXT')","('HPT', '')",0.2,0.2,0.2222222222222222,0.2222222222222222
529,habituell,habituel,.,"('HPTL', '')","('', '')","('HPTL', '')",.,.,.,.
530,Hangar,hangar,.,"('HNKR', '')","('', '')","('HNKR', '')",.,.,.,.
531,Hasardeur,hasardeur,.,"('HSRTR', '')","('', '')","('HSRTR', '')",.,.,.,.
532,Haschee,haschée,.,"('HX', '')","('', '')","('HX', '')",.,.,.,.
533,haschieren,hacher,.,"('HXRN', '')","('', '')","('HXR', 'HKR')",.,.,.,.
534,Hausse,hausse,.,"('HS', '')","('', '')","('HS', '')",.,.,.,.
535,haussieren,hausser,.,"('HSRN', '')","('', '')","('HSR', '')",.,.,.,.
536,Hautgout,haut goût,.,"('HTKT', '')","('', '')","('HTKT', '')",.,.,.,.
537,Hennin,hennin,.,"('HNN', '')","('', '')","('HNN', '')",.,.,.,.
538,Hommage,hommage,.,"('HMJ', 'HMK')","('', '')","('HMJ', 'HMK')",.,.,.,.
539,honett,honnête,.,"('HNT', '')","('', '')","('HNT', '')",.,.,.,.
540,Hotel,hôtel,.,"('HTL', '')","('', '')","('TL', '')",.,.,.,.
541,Hotelier,hôtelier,.,"('HTL', 'HTLR')","('', '')","('TL', 'TLR')",.,.,.,.
542,Husse,housse,.,"('HS', '')","('', '')","('HS', '')",.,.,.,.
543,Idee,idée,.,"('AT', '')","('', '')","('AT', '')",.,.,.,.
544,ideell,idéel,.,"('ATL', '')","('', '')","('ATL', '')",.,.,.,.
545,Ideologe,idéologue,.,"('ATLJ', 'ATLK')","('', '')","('ATLK', '')",.,.,.,.
546,illuster,illustre,.,"('ALSTR', '')","('', '')","('ALSTR', '')",.,.,.,.
547,Imagination,imagination,.,"('AMJNXN', 'AMKNXN')","('', '')","('AMJNXN', 'AMKNXN')",.,.,.,.
548,Imperialismus,impérialisme,.,"('AMPRLSMS', '')","('', '')","('AMPRLSM', '')",.,.,.,.
549,Importeur,importeur,.,"('AMPRTR', '')","('', '')","('AMPRTR', '')",.,.,.,.
550,imposant,imposant,.,"('AMPSNT', '')","('', '')","('AMPSNT', '')",.,.,.,.
551,indolent,indolent,.,"('ANTLNT', '')","('', '')","('ANTLNT', '')",.,.,.,.
552,Indolenz,indolence,.,"('ANTLNS', '')","('', '')","('ANTLNS', '')",.,.,.,.
553,Industrie,industrie,Endüschtri,"('ANTSTR', '')","('ANTXTR', '')","('ANTSTR', '')",0.631578947368421,0.631578947368421,0.8333333333333334,0.8333333333333334
554,infektiös,infectieux,.,"('ANFKTS', '')","('', '')","('ANFKTKS', '')",.,.,.,.
555,infiltrieren,infiltrer,.,"('ANFLTRRN', '')","('', '')","('ANFLTRR', '')",.,.,.,.
556,Ingenieur,ingénieur,.,"('ANJNR', 'ANKNR')","('', '')","('ANKNR', '')",.,.,.,.
557,inkommodieren,incommoder,.,"('ANKMTRN', '')","('', '')","('ANKMTR', '')",.,.,.,.
558,Insolenz,insolence,.,"('ANSLNS', '')","('', '')","('ANSLNS', '')",.,.,.,.
559,Installateur,installateur,.,"('ANSTLTR', '')","('', '')","('ANSTLTR', '')",.,.,.,.
560,Instrukteur,instructeur,.,"('ANSTRKTR', '')","('', '')","('ANSTRKTR', '')",.,.,.,.
561,instrumental,instrumental,.,"('ANSTRMNTL', '')","('', '')","('ANSTRMNTL', '')",.,.,.,.
562,intellektuell,intellectuel,.,"('ANTLKTL', '')","('', '')","('ANTLKTL', '')",.,.,.,.
563,Intendant,intendant,.,"('ANTNTNT', '')","('', '')","('ANTNTNT', '')",.,.,.,.
564,interessant,intéressant,.,"('ANTRSNT', '')","('', '')","('ANTRSNT', '')",.,.,.,.
565,Interieur,intérieur,.,"('ANTRR', '')","('', '')","('ANTRR', '')",.,.,.,.
566,intrigant,intrigant,.,"('ANTRKNT', '')","('', '')","('ANTRKNT', '')",.,.,.,.
567,Intrigant,intrigant,.,"('ANTRKNT', '')","('', '')","('ANTRKNT', '')",.,.,.,.
568,Intrige,intrigue,.,"('ANTRJ', 'ANTRK')","('', '')","('ANTRK', '')",.,.,.,.
569,Invalide,invalide,.,"('ANFLT', '')","('', '')","('ANFLT', '')",.,.,.,.
570,Invention,invention,.,"('ANFNXN', '')","('', '')","('ANFNXN', '')",.,.,.,.
571,Inzidenz,incidence,.,"('ANSTNS', '')","('', '')","('ANSTNS', '')",.,.,.,.
572,Jabot,jabot,.,"('JPT', 'APT')","('', '')","('JPT', 'APT')",.,.,.,.
573,Jalousie,jalousie,Ifersucht,"('JLS', 'ALS')","('AFRSKT', '')","('JLS', 'ALS')",0.11764705882352941,0.11764705882352941,0.4444444444444444,0.4444444444444444
574,Jargon,jargon,.,"('JRKN', 'ARKN')","('', '')","('JRKN', 'ARKN')",.,.,.,.
575,Jeton,jeton,.,"('JTN', 'ATN')","('', '')","('JTN', 'ATN')",.,.,.,.
576,Jonglage,jonglage,.,"('JNKLJ', 'ANKLK')","('', '')","('JNKLJ', 'ANKLK')",.,.,.,.
577,Jongleur,jongleur,.,"('JNKLR', 'ANKLR')","('', '')","('JNKLR', 'ANKLR')",.,.,.,.
578,Jongleuse,jongleuse,.,"('JNKLS', 'ANKLS')","('', '')","('JNKLS', 'ANKLS')",.,.,.,.
579,Journal,journal,Zittung,"('JRNL', 'ARNL')","('STNK', '')","('JRNL', 'ARNL')",0.2857142857142857,0.2857142857142857,0.25,0.25
580,Journalist,journaliste,.,"('JRNLST', 'ARNLST')","('', '')","('JRNLST', 'ARNLST')",.,.,.,.
581,jovial,jovial,.,"('JFL', 'AFL')","('', '')","('JFL', 'AFL')",.,.,.,.
582,Jupe,jupe,Hàlbrock,"('JP', 'AP')","('LPRK', '')","('JP', 'AP')",0.0,0.0,0.3333333333333333,0.3333333333333333
583,Jus,jus,Sàft,"('JS', 'AS')","('SFT', '')","('JS', 'AS')",0.2857142857142857,0.2857142857142857,0.4,0.4
584,justament,justement,.,"('JSTMNT', 'ASTMNT')","('', '')","('JSTMNT', 'ASTMNT')",.,.,.,.
585,Kabale,cabale,.,"('KPL', '')","('', '')","('KPL', '')",.,.,.,.
586,Kabarett,cabaret,.,"('KPRT', '')","('', '')","('KPRT', '')",.,.,.,.
587,Kabine,cabine,Kàbina,"('KPN', '')","('KPN', '')","('KPN', '')",0.6666666666666666,0.5,1.0,1.0
588,Kabinett,cabinet,.,"('KPNT', '')","('', '')","('KPNT', '')",.,.,.,.
589,Kabotage,cabotage,.,"('KPTJ', 'KPTK')","('', '')","('KPTJ', 'KPTK')",.,.,.,.
590,Kader,cadre,Ràmme,"('KTR', '')","('RM', '')","('KTR', '')",0.2,0.4,0.4,0.4
591,Kadett,cadet,.,"('KTT', '')","('', '')","('KTT', '')",.,.,.,.
592,Kaffee,café,Kàffee,"('KF', '')","('KF', '')","('KF', '')",0.8333333333333334,0.2,1.0,1.0
593,Kalette,calette,.,"('KLT', '')","('', '')","('KLT', '')",.,.,.,.
594,Kaliber,calibre,.,"('KLPR', '')","('', '')","('KLPR', '')",.,.,.,.
595,Kalkül,calcul,.,"('KLKL', '')","('', '')","('KLKL', '')",.,.,.,.
596,Kalorie,calorie,Kàloria,"('KLR', '')","('KLR', '')","('KLR', '')",0.7142857142857143,0.5714285714285714,1.0,1.0
597,Kalotte,calotte,.,"('KLT', '')","('', '')","('KLT', '')",.,.,.,.
598,Kampagne,campagne,Lànd,"('KMPKN', '')","('LNT', '')","('KMPN', 'KMPKN')",0.16666666666666666,0.16666666666666666,0.2857142857142857,0.25
599,Kanapee,canapé,Sofa,"('KNP', '')","('SF', '')","('KNP', '')",0.18181818181818182,0.2,0.0,0.0
600,Kanonier,canonnier,.,"('KNNR', '')","('', '')","('KNN', 'KNNR')",.,.,.,.
601,Kantine,cantine,.,"('KNTN', '')","('', '')","('KNTN', '')",.,.,.,.
602,Kanton,canton,.,"('KNTN', '')","('', '')","('KNTN', '')",.,.,.,.
603,Kanüle,canule,Kànüle,"('KNL', '')","('KNL', '')","('KNL', '')",0.8333333333333334,0.5,1.0,1.0
604,kapitalisieren,capitaliser,.,"('KPTLSRN', '')","('', '')","('KPTLSR', '')",.,.,.,.
605,Kapitulation,capitulation,.,"('KPTLXN', '')","('', '')","('KPTLXN', '')",.,.,.,.
606,kapitulieren,capituler,.,"('KPTLRN', '')","('', '')","('KPTLR', '')",.,.,.,.
607,kapriziös,capricieux,.,"('KPRSS', 'KPRTSS')","('', '')","('KPRSKS', 'KPRXKS')",.,.,.,.
608,kaputt,capot,.,"('KPT', '')","('', '')","('KPT', '')",.,.,.,.
609,Karaffe,carafe,Kröij,"('KRF', '')","('KRJ', 'KR')","('KRF', '')",0.3333333333333333,0.18181818181818182,0.8,0.8
610,Karamell,caramel,.,"('KRML', '')","('', '')","('KRML', '')",.,.,.,.
611,karamellisieren,caraméliser,.,"('KRMLSRN', '')","('', '')","('KRMLSR', '')",.,.,.,.
612,Karat,carat,.,"('KRT', '')","('', '')","('KRT', '')",.,.,.,.
613,Karbonade,carbonnade,.,"('KRPNT', '')","('', '')","('KRPNT', '')",.,.,.,.
614,Karo,carreau,.,"('KR', '')","('', '')","('KR', '')",.,.,.,.
615,Karosserie,carrosserie,.,"('KRSR', '')","('', '')","('KRSR', '')",.,.,.,.
616,Karotte,carotte,Gälbröb,"('KRT', '')","('KLPRP', '')","('KRT', '')",0.14285714285714285,0.14285714285714285,0.5,0.5
617,Karree,carré,Kwàdràt,"('KR', '')","('KTRT', '')","('KR', '')",0.3076923076923077,0.16666666666666666,0.6666666666666666,0.6666666666666666
618,Karriere,carrière,Làuifbàhn,"('KRR', '')","('LFPN', '')","('KRR', '')",0.11764705882352941,0.11764705882352941,0.0,0.0
619,Karriole,carriole,.,"('KRL', '')","('', '')","('KRL', '')",.,.,.,.
620,Kartell,cartel,.,"('KRTL', '')","('', '')","('KRTL', '')",.,.,.,.
621,Karton,carton,.,"('KRTN', '')","('', '')","('KRTN', '')",.,.,.,.
622,Kartusche,cartouche,Kugla,"('KRTX', '')","('KKL', '')","('KRTX', 'KRTK')",0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857
623,Karussell,carrousel,.,"('KRSL', '')","('', '')","('KRSL', '')",.,.,.,.
624,kaschieren,cacher,.,"('KXRN', '')","('', '')","('KXR', 'KKR')",.,.,.,.
625,Kaserne,caserne,Kàsern,"('KSRN', '')","('KSRN', '')","('KSRN', '')",0.7692307692307693,0.6153846153846154,1.0,1.0
626,Kaskade,cascade,Wàsserfàll,"('KSKT', '')","('SRFL', '')","('KSKT', '')",0.23529411764705882,0.23529411764705882,0.25,0.25
627,Kasserolle,casserole,Pfànn,"('KSRL', '')","('PFN', '')","('KSRL', '')",0.0,0.0,0.0,0.0
628,Kassette,cassette,.,"('KST', '')","('', '')","('KST', '')",.,.,.,.
629,kassieren,casser,.,"('KSRN', '')","('', '')","('KSR', '')",.,.,.,.
630,Kautschuk,caoutchouc,Kàuitschüg,"('KTXK', '')","('KTXK', '')","('KXK', '')",0.631578947368421,0.4,0.8571428571428571,1.0
631,Kavallerie,cavalerie,.,"('KFLR', '')","('', '')","('KFLR', '')",.,.,.,.
632,Kinematograph,cinématographe,.,"('KNMTKRF', '')","('', '')","('SNMTKRF', '')",.,.,.,.
633,Kiosk,kiosque,Kiosk,"('KSK', '')","('KSK', '')","('KSK', '')",1.0,0.6666666666666666,1.0,1.0
634,Klassik,classique,klàssisch,"('KLSK', '')","('KLSX', '')","('KLSK', '')",0.625,0.4444444444444444,0.75,0.75
635,Klaustrophobie,claustrophobie,.,"('KLSTRFP', '')","('', '')","('KLSTRFP', '')",.,.,.,.
636,Klavier,clavier,Tàschtàtür,"('KLFR', '')","('TXTTR', '')","('KLF', 'KLFR')",0.11764705882352941,0.23529411764705882,0.2222222222222222,0.2222222222222222
637,Klischee,cliché,.,"('KLX', '')","('', '')","('KLX', 'KLK')",.,.,.,.
638,Kognak,cognac,.,"('KKNK', '')","('', '')","('KNK', 'KKNK')",.,.,.,.
639,Koketterie,coquetterie,.,"('KKTR', '')","('', '')","('KKTR', '')",.,.,.,.
640,Kokon,cocon,.,"('KKN', '')","('', '')","('KKN', '')",.,.,.,.
641,Kokotte,cocotte,.,"('KKT', '')","('', '')","('KKT', '')",.,.,.,.
642,Kolibri,colibri,Kolibri,"('KLPR', '')","('KLPR', '')","('KLPR', '')",1.0,0.8571428571428571,1.0,1.0
643,Kollaborateur,collaborateur,.,"('KLPRTR', '')","('', '')","('KLPRTR', '')",.,.,.,.
644,Kollektion,collection,Sàmmlung,"('KLKXN', '')","('SMLNK', '')","('KLKXN', '')",0.2222222222222222,0.2222222222222222,0.2,0.2
645,Kolonne,colonne,Schpàlt,"('KLN', '')","('XPLT', 'SPLT')","('KLN', '')",0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857
646,kolossal,colossal,kolosààl,"('KLSL', '')","('KLSL', '')","('KLSL', '')",0.75,0.625,1.0,1.0
647,kolportieren,colporter,.,"('KLPRTRN', '')","('', '')","('KLPRTR', '')",.,.,.,.
648,Komfort,confort,Bekwamlischkeit,"('KMFRT', '')","('PKMLXKT', '')","('KNFRT', '')",0.2727272727272727,0.18181818181818182,0.3333333333333333,0.5
649,Komitee,comité,Comite,"('KMT', '')","('KMT', '')","('KMT', '')",0.7692307692307693,0.8333333333333334,1.0,1.0
650,Kommandant,commandant,.,"('KMNTNT', '')","('', '')","('KMNTNT', '')",.,.,.,.
651,Kommandeur,commandeur,.,"('KMNTR', '')","('', '')","('KMNTR', '')",.,.,.,.
652,Komment,comment,.,"('KMNT', '')","('', '')","('KMNT', '')",.,.,.,.
653,Kommerz,commerce,Hàndel,"('KMRS', 'KMRTS')","('NTL', '')","('KMRS', '')",0.15384615384615385,0.14285714285714285,0.0,0.25
654,kommerziell,commercial,.,"('KMRSL', 'KMRTSL')","('', '')","('KMRSL', 'KMRXL')",.,.,.,.
655,Kommis,commis,.,"('KMS', '')","('', '')","('KMS', '')",.,.,.,.
656,Kommissariat,commissariat,.,"('KMSRT', '')","('', '')","('KMSRT', '')",.,.,.,.
657,kommod,commode,Kummod,"('KMT', '')","('KMT', '')","('KMT', '')",0.8333333333333334,0.6153846153846154,1.0,1.0
658,Kommode,commode,Kummod,"('KMT', '')","('KMT', '')","('KMT', '')",0.7692307692307693,0.6153846153846154,1.0,1.0
659,Kommunarde,communard,.,"('KMNRT', '')","('', '')","('KMNRT', '')",.,.,.,.
660,Kommune,commune,Gmainda,"('KMN', '')","('KMNT', '')","('KMN', '')",0.2857142857142857,0.2857142857142857,0.8571428571428571,0.8571428571428571
661,Kommuniqué,communiqué,.,"('KMNK', '')","('', '')","('KMNK', '')",.,.,.,.
662,Kommunismus,communisme,.,"('KMNSMS', '')","('', '')","('KMNSM', '')",.,.,.,.
663,Kompagnon,compagnon,Gsäll,"('KMPKNN', '')","('KSL', '')","('KMPNN', 'KMPKNN')",0.14285714285714285,0.14285714285714285,0.25,0.2222222222222222
664,Kompanie,compagnie,.,"('KMPN', '')","('', '')","('KMPN', 'KMPKN')",.,.,.,.
665,Kompliment,compliment,.,"('KMPLMNT', '')","('', '')","('KMPLMNT', '')",.,.,.,.
666,Komplize,complice,Mettäter,"('KMPLS', 'KMPLTS')","('MTTR', '')","('KMPLS', '')",0.25,0.25,0.2222222222222222,0.4
667,Komplott,complot,Verschwerung,"('KMPLT', '')","('FRXRNK', '')","('KMPLT', '')",0.0,0.10526315789473684,0.18181818181818182,0.18181818181818182
668,Kompost,compost,Komposcht,"('KMPST', '')","('KMPXT', '')","('KMPST', '')",0.875,0.75,0.8,0.8
669,Kompott,compote,.,"('KMPT', '')","('', '')","('KMPT', '')",.,.,.,.
670,Konduite,conduite,.,"('KNTT', '')","('', '')","('KNTT', '')",.,.,.,.
671,Konfident,confident,.,"('KNFTNT', '')","('', '')","('KNFTNT', '')",.,.,.,.
672,Konfitüre,confiture,Kunfetür,"('KNFTR', '')","('KNFTR', '')","('KNFTR', '')",0.7058823529411765,0.47058823529411764,1.0,1.0
673,Konsole,console,.,"('KNSL', '')","('', '')","('KNSL', '')",.,.,.,.
674,konsterniert,consterner,.,"('KNSTRNRT', '')","('', '')","('KNSTRNR', '')",.,.,.,.
675,Konstrukteur,constructeur,.,"('KNSTRKTR', '')","('', '')","('KNSTRKTR', '')",.,.,.,.
676,konterkarieren,contrecarrer,.,"('KNTRKRRN', '')","('', '')","('KNTRKRR', '')",.,.,.,.
677,Kontingent,contingent,.,"('KNTNJNT', 'KNTNKNT')","('', '')","('KNTNJNT', 'KNTNKNT')",.,.,.,.
678,konträr,contraire,Gegatail,"('KNTRR', '')","('JKTL', 'KKTL')","('KNTRR', '')",0.13333333333333333,0.35294117647058826,0.4444444444444444,0.4444444444444444
679,Kontrolle,contrôle,Kontrolla,"('KNTRL', '')","('KNTRL', '')","('KNTRL', '')",0.8888888888888888,0.5882352941176471,1.0,1.0
680,Kontur,contour,Umress,"('KNTR', '')","('AMRS', '')","('KNTR', '')",0.3333333333333333,0.3076923076923077,0.25,0.25
681,konzentrieren,concentrer,.,"('KNSNTRRN', 'KNTSNTRRN')","('', '')","('KNSNTRR', '')",.,.,.,.
682,konziliant,conciliant,.,"('KNSLNT', 'KNTSLNT')","('', '')","('KNSLNT', '')",.,.,.,.
683,Kordel,cordelle,.,"('KRTL', '')","('', '')","('KRTL', '')",.,.,.,.
684,Kordon,cordon,.,"('KRTN', '')","('', '')","('KRTN', '')",.,.,.,.
685,Kormoran,cormoran,Cormoràn,"('KRMRN', '')","('KRMRN', '')","('KRMRN', '')",0.75,0.875,1.0,1.0
686,Kornett,cornet,.,"('KRNT', '')","('', '')","('KRNT', '')",.,.,.,.
687,Korps,corps,Lib,"('KRPS', '')","('LP', '')","('KRPS', '')",0.0,0.0,0.3333333333333333,0.3333333333333333
688,Korpus,corpus,.,"('KRPS', '')","('', '')","('KRPS', '')",.,.,.,.
689,korrodieren,corroder,.,"('KRTRN', '')","('', '')","('KRTR', '')",.,.,.,.
690,Korsage,corsage,Blüsa,"('KRSJ', 'KRSK')","('PLS', '')","('KRSJ', 'KRSK')",0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857
691,Korsett,corset,.,"('KRST', '')","('', '')","('KRST', '')",.,.,.,.
692,Korvette,corvette,.,"('KRFT', '')","('', '')","('KRFT', '')",.,.,.,.
693,Koryphäe,coryphée,.,"('KRF', '')","('', '')","('KRF', '')",.,.,.,.
694,Kostüm,costume,Ànzug,"('KSTM', '')","('NSK', '')","('KSTM', '')",0.0,0.16666666666666666,0.2857142857142857,0.2857142857142857
695,Kotelett,côtelette,Kutlätt,"('KTLT', '')","('KTLT', '')","('KTLT', '')",0.6666666666666666,0.5,1.0,1.0
696,Koterie,coterie,.,"('KTR', '')","('', '')","('KTR', '')",.,.,.,.
697,Krapüle,crapule,.,"('KRPL', '')","('', '')","('KRPL', '')",.,.,.,.
698,Krawatte,cravate,Kràwàtt,"('KRT', '')","('KRT', '')","('KRFT', '')",0.6666666666666666,0.2857142857142857,0.8571428571428571,1.0
699,Kreateur,créateur,.,"('KRTR', '')","('', '')","('KRTR', '')",.,.,.,.
700,Kreation,création,.,"('KRXN', '')","('', '')","('KRXN', '')",.,.,.,.
701,Krepp,crêpe,Pfànnaküacha,"('KRP', '')","('PFNKK', '')","('KRP', '')",0.11764705882352941,0.11764705882352941,0.25,0.25
702,Krevette,crevette,.,"('KRFT', '')","('', '')","('KRFT', '')",.,.,.,.
703,kriminell,criminel,.,"('KRMNL', '')","('', '')","('KRMNL', '')",.,.,.,.
704,Krokant,croquant,.,"('KRKNT', '')","('', '')","('KRKNT', '')",.,.,.,.
705,Krokette,croquette,.,"('KRKT', '')","('', '')","('KRKT', '')",.,.,.,.
706,Kuguar,couguar,.,"('KKR', '')","('', '')","('KKR', '')",.,.,.,.
707,Kujon,couillon,.,"('KJN', '')","('', '')","('KLN', '')",.,.,.,.
708,kulant,coulant,.,"('KLNT', '')","('', '')","('KLNT', '')",.,.,.,.
709,Kulisse,coulisse,.,"('KLS', '')","('', '')","('KLS', '')",.,.,.,.
710,kulminieren,culminer,.,"('KLMNRN', '')","('', '')","('KLMNR', '')",.,.,.,.
711,Kürass,cuirasse,Bruschtpànzer,"('KRS', '')","('PRXTPNSR', '')","('KRS', '')",0.21052631578947367,0.19047619047619047,0.36363636363636365,0.36363636363636365
712,Kurtine,courtine,.,"('KRTN', '')","('', '')","('KRTN', '')",.,.,.,.
713,kusch,couche!,.,"('KX', '')","('', '')","('KX', 'KK')",.,.,.,.
714,kuschen,coucher,.,"('KXN', 'KSKN')","('', '')","('KXR', 'KKR')",.,.,.,.
715,Kutsche,couche,Wendla,"('KTX', '')","('ANTL', 'FNTL')","('KX', 'KK')",0.15384615384615385,0.16666666666666666,0.0,0.2857142857142857
716,Kuvert,couvert,bedäckt,"('KFRT', '')","('PTKT', '')","('KFRT', '')",0.3076923076923077,0.2857142857142857,0.5,0.5
717,Kuvertüre,couverture,Däcka,"('KFRTR', '')","('TK', '')","('KFRTR', '')",0.14285714285714285,0.13333333333333333,0.2857142857142857,0.2857142857142857
718,Küvette,cuvette,.,"('KFT', '')","('', '')","('KFT', '')",.,.,.,.
719,Lafette,l’affût,.,"('LFT', '')","('', '')","('LFT', '')",.,.,.,.
720,Lakai,laquais,.,"('LK', '')","('', '')","('LK', 'LKS')",.,.,.,.
721,Laktose,lactose,Melchzucker,"('LKTS', '')","('MLXSKR', 'MLKTSKR')","('LKTS', '')",0.3333333333333333,0.3333333333333333,0.7272727272727273,0.7272727272727273
722,Lamäng,la main,.,"('LMNK', '')","('', '')","('LMN', '')",.,.,.,.
723,Lampion,lampion,.,"('LMPN', '')","('', '')","('LMPN', '')",.,.,.,.
724,Languste,langouste,.,"('LNKST', '')","('', '')","('LNKST', '')",.,.,.,.
725,lapidar,lapidaire,.,"('LPTR', '')","('', '')","('LPTR', '')",.,.,.,.
726,Lapointe,Lapointe,.,"('LPNT', '')","('', '')","('LPNT', '')",.,.,.,.
727,larmoyant,larmoyant,.,"('LRMNT', '')","('', '')","('LRMNT', '')",.,.,.,.
728,Latrine,latrine,.,"('LTRN', '')","('', '')","('LTRN', '')",.,.,.,.
729,Laurier,Laurier,Lorbeerabàuim,"('LR', 'LRR')","('LRPRPM', '')","('LR', 'LRR')",0.4,0.4,0.6666666666666666,0.6666666666666666
730,Leblanc,Leblanc,.,"('LPLNK', '')","('', '')","('LPLNK', '')",.,.,.,.
731,leger,léger,.,"('LJR', 'LKR')","('', '')","('LKR', 'LJR')",.,.,.,.
732,Lektüre,lecture,.,"('LKTR', '')","('', '')","('LKTR', '')",.,.,.,.
733,Liaison,liaison,Verhältniss,"('LSN', '')","('FRLTNS', '')","('LSN', '')",0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4444444444444444
734,Libertinage,libertinage,.,"('LPRTNJ', 'LPRTNK')","('', '')","('LPRTNJ', 'LPRTNK')",.,.,.,.
735,liieren,lier,.,"('LRN', '')","('', '')","('L', 'LR')",.,.,.,.
736,Likör,liqueur,.,"('LKR', '')","('', '')","('LKR', '')",.,.,.,.
737,Limette,limette,.,"('LMT', '')","('', '')","('LMT', '')",.,.,.,.
738,Limite,Limit,.,"('LMT', '')","('', '')","('LMT', '')",.,.,.,.
739,Limonade,limonade,.,"('LMNT', '')","('', '')","('LMNT', '')",.,.,.,.
740,Limousine,limousine,.,"('LMSN', '')","('', '')","('LMSN', '')",.,.,.,.
741,Lingerie,lingerie,Unterwäsch,"('LNKR', 'LNJR')","('ANTRX', '')","('LNKR', 'LNJR')",0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4444444444444444
742,Liquidation,liquidation,.,"('LKTXN', '')","('', '')","('LKTXN', '')",.,.,.,.
743,Liter,litre,Liter,"('LTR', '')","('LTR', '')","('LTR', '')",1.0,0.8,1.0,1.0
744,Livree,livrée,.,"('LFR', '')","('', '')","('LFR', '')",.,.,.,.
745,Loge,loge,.,"('LJ', 'LK')","('', '')","('LJ', 'LK')",.,.,.,.
746,logieren,loger,.,"('LJRN', 'LKRN')","('', '')","('LKR', 'LJR')",.,.,.,.
747,Logis,logis,.,"('LJS', 'LKS')","('', '')","('LJS', 'LKS')",.,.,.,.
748,Lokal,local,lokàl,"('LKL', '')","('LKL', '')","('LKL', '')",0.8,0.6,1.0,1.0
749,Louis,Louis,.,"('LS', '')","('', '')","('LS', '')",.,.,.,.
750,loyal,loyal,.,"('LL', '')","('', '')","('LL', '')",.,.,.,.
751,Lünette,lunette,.,"('LNT', '')","('', '')","('LNT', '')",.,.,.,.
752,Lupe,loupe,Lupp,"('LP', '')","('LP', '')","('LP', '')",0.75,0.6666666666666666,1.0,1.0
753,Lüster,lustre,Luschter,"('LSTR', '')","('LXTR', '')","('LSTR', '')",0.7142857142857143,0.7142857142857143,0.75,0.75
754,luxuriös,luxurieux,.,"('LKSRS', '')","('', '')","('LKSRKS', '')",.,.,.,.
755,Luzerne,luzerne,.,"('LSRN', '')","('', '')","('LSRN', '')",.,.,.,.
756,Madeleine,Madeleine,.,"('MTLN', '')","('', '')","('MTLN', '')",.,.,.,.
757,Maisonette,maisonette,.,"('MSNT', '')","('', '')","('MSNT', '')",.,.,.,.
758,malade,malade,krànk,"('MLT', '')","('KRNK', '')","('MLT', '')",0.0,0.0,0.0,0.0
